age	workclass	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country
(38.9, 46.2]	government department	Bachelors	13	Single	Adm-clerical	Not-in-family	White-h1	Male	2174	0	40	United-States
(46.2, 53.5]	Self-employed	Bachelors	13	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	13	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Single	Handlers-cleaners	Not-in-family	White-h1	Male	0	0	40	United-States
(46.2, 53.5]	Private-h1	11th	7	Married-h1	Handlers-cleaners	Husband	Non-White	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	Bachelors	13	Married-h1	Prof-specialty	Wife	Non-White	Female	0	0	40	Cuba
(31.6, 38.9]	Private-h1	Masters	14	Married-h1	Exec-managerial	Wife	White-h1	Female	0	0	40	United-States
(46.2, 53.5]	Private-h1	9th	5	Widowhood	Other-service	Not-in-family	Non-White	Female	0	0	16	Jamaica
(46.2, 53.5]	Self-employed	HS-grad	9	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	45	United-States
(24.3, 31.6]	Private-h1	Masters	14	Single	Prof-specialty	Not-in-family	White-h1	Female	14084	0	50	United-States
(38.9, 46.2]	Private-h1	Bachelors	13	Married-h1	Exec-managerial	Husband	White-h1	Male	5178	0	40	United-States
(31.6, 38.9]	Private-h1	Some-college	10	Married-h1	Exec-managerial	Husband	Non-White	Male	0	0	80	United-States
(24.3, 31.6]	government department	Bachelors	13	Married-h1	Prof-specialty	Husband	Non-White	Male	0	0	40	India
(16.927, 24.3]	Private-h1	Bachelors	13	Single	Adm-clerical	Own-child	White-h1	Female	0	0	30	United-States
(31.6, 38.9]	Private-h1	Assoc-acdm	12	Single	Sales	Not-in-family	Non-White	Male	0	0	50	United-States
(31.6, 38.9]	Private-h1	7th-8th	4	Married-h1	Transport-moving	Husband	Non-White	Male	0	0	45	Mexico
(24.3, 31.6]	Self-employed	HS-grad	9	Single	Farming-fishing	Own-child	White-h1	Male	0	0	35	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Single	Machine-op-inspct	Unmarried	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	11th	7	Married-h1	Sales	Husband	White-h1	Male	0	0	50	United-States
(38.9, 46.2]	Self-employed	Masters	14	Single	Exec-managerial	Unmarried	White-h1	Female	0	0	45	United-States
(38.9, 46.2]	Private-h1	Doctorate	16	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	60	United-States
(53.5, 60.8]	Private-h1	HS-grad	9	Married-h1	Other-service	Unmarried	Non-White	Female	0	0	20	United-States
(31.6, 38.9]	government department	9th	5	Married-h1	Farming-fishing	Husband	Non-White	Male	0	0	40	United-States
(38.9, 46.2]	Private-h1	11th	7	Married-h1	Transport-moving	Husband	White-h1	Male	0	2042	40	United-States
(53.5, 60.8]	Private-h1	HS-grad	9	Single	Tech-support	Unmarried	White-h1	Female	0	0	40	United-States
(53.5, 60.8]	government department	Bachelors	13	Married-h1	Tech-support	Husband	White-h1	Male	0	0	40	United-States
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Craft-repair	Own-child	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Single	Exec-managerial	Not-in-family	White-h1	Male	0	0	80	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(16.927, 24.3]	government department	Assoc-acdm	12	Single	Protective-serv	Not-in-family	White-h1	Male	0	0	52	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Sales	Own-child	Non-White	Male	0	0	44	United-States
(38.9, 46.2]	Private-h1	Bachelors	13	Single	Exec-managerial	Own-child	White-h1	Male	0	1408	40	United-States
(24.3, 31.6]	government department	Some-college	10	Married-h1	Adm-clerical	Own-child	White-h1	Male	0	0	40	United-States
(16.927, 24.3]	government department	Some-college	10	Married-h1	Other-service	Husband	Non-White	Male	0	0	15	United-States
(46.2, 53.5]	Private-h1	11th	7	Single	Machine-op-inspct	Unmarried	White-h1	Male	0	0	40	Puerto-Rico
(16.927, 24.3]	Private-h1	Some-college	10	Single	Machine-op-inspct	Own-child	White-h1	Male	0	0	40	United-States
(16.927, 24.3]	Private-h1	HS-grad	9	Married-h1	Adm-clerical	Wife	White-h1	Female	0	0	25	United-States
(46.2, 53.5]	Self-employed	Assoc-acdm	12	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	9th	5	Married-h1	Machine-op-inspct	Husband	White-h1	Male	0	0	43	United-States
(46.2, 53.5]	Self-employed	Bachelors	13	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	40	United-States
(16.927, 24.3]	Private-h1	Bachelors	13	Married-h1	Tech-support	Husband	White-h1	Male	0	0	50	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Adm-clerical	Unmarried	White-h1	Female	0	0	40	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Handlers-cleaners	Not-in-family	White-h1	Male	0	0	35	United-States
(53.5, 60.8]	government department	Bachelors	13	Married-h1	Prof-specialty	Husband	Non-White	Male	0	0	40	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Machine-op-inspct	Husband	White-h1	Male	0	0	38	United-States
(38.9, 46.2]	Private-h1	Masters	14	Single	Exec-managerial	Unmarried	White-h1	Female	0	0	40	United-States
(38.9, 46.2]	government department	Assoc-voc	11	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	Assoc-voc	11	Single	Prof-specialty	Not-in-family	White-h1	Male	0	0	43	United-States
(24.3, 31.6]	Private-h1	Some-college	10	Married-h1	Exec-managerial	Wife	Non-White	Female	0	0	40	United-States
(46.2, 53.5]	Private-h1	Prof-school	15	Married-h1	Prof-specialty	Wife	White-h1	Female	0	1902	60	Honduras
(46.2, 53.5]	government department	Bachelors	13	Single	Exec-managerial	Not-in-family	White-h1	Male	0	0	55	United-States
(46.2, 53.5]	Self-employed	HS-grad	9	Single	Exec-managerial	Not-in-family	White-h1	Male	0	0	60	United-States
(38.9, 46.2]	Private-h1	Some-college	10	Married-h1	Tech-support	Husband	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	Private-h1	5th-6th	3	Married-h1	Machine-op-inspct	Husband	White-h1	Male	0	0	40	Mexico
(31.6, 38.9]	Private-h1	Assoc-voc	11	Married-h1	Other-service	Husband	White-h1	Male	0	0	40	Puerto-Rico
(38.9, 46.2]	Private-h1	HS-grad	9	Married-h1	Adm-clerical	Husband	White-h1	Male	0	0	48	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Married-h1	Machine-op-inspct	Husband	White-h1	Male	5013	0	40	United-States
(24.3, 31.6]	Private-h1	Bachelors	13	Married-h1	Sales	Husband	White-h1	Male	2407	0	40	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Transport-moving	Husband	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	Private-h1	Doctorate	16	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	45	United-States
(24.3, 31.6]	Private-h1	Some-college	10	Single	Tech-support	Not-in-family	White-h1	Male	0	0	58	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	Some-college	10	Single	Adm-clerical	Not-in-family	White-h1	Female	0	0	40	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Adm-clerical	Wife	White-h1	Female	0	0	40	United-States
(46.2, 53.5]	Self-employed	Some-college	10	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	50	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Prof-specialty	Own-child	White-h1	Male	0	0	32	United-States
(24.3, 31.6]	Private-h1	Bachelors	13	Married-h1	Sales	Own-child	Non-White	Female	0	0	40	United-States
(24.3, 31.6]	Self-employed	Bachelors	13	Married-h1	Sales	Husband	White-h1	Male	0	0	70	United-States
