age,workclass,marital_status,race
46.7820307672762,government department,Single,White-h1
49.104185729208375,Self-employed,Married-h1,White-h1
35.71200536866087,Private-h1,Single,White-h1
55.17462494796701,Private-h1,Married-h1,Non-White
33.2819728655874,Private-h1,Married-h1,Non-White
34.349579350616786,Private-h1,Married-h1,White-h1
51.32090272888473,Private-h1,Widowhood,Non-White
48.69815500710313,Self-employed,Married-h1,White-h1
28.402866651571806,Private-h1,Single,White-h1
51.12381238067523,Private-h1,Married-h1,White-h1
35.93072952324617,Private-h1,Married-h1,Non-White
27.893181576720323,government department,Married-h1,Non-White
18.508967324382418,Private-h1,Single,White-h1
33.278825702625014,Private-h1,Single,Non-White
37.98398379788089,Private-h1,Married-h1,Non-White
21.525469037152586,Self-employed,Single,White-h1
36.37849893003797,Private-h1,Single,White-h1
35.97179641238697,Private-h1,Married-h1,White-h1
42.62217997183693,Self-employed,Single,White-h1
40.59719552888301,Private-h1,Married-h1,White-h1
48.599038769398234,Private-h1,Married-h1,Non-White
33.27098194054602,government department,Married-h1,Non-White
41.084296914030894,Private-h1,Married-h1,White-h1
58.045848871204875,Private-h1,Single,White-h1
58.4656338862888,government department,Married-h1,White-h1
22.312032218779205,Private-h1,Single,White-h1
42.87290221684239,Private-h1,Single,White-h1
51.92588661492995,Private-h1,Married-h1,White-h1
23.913252313427613,government department,Single,White-h1
22.229807772063175,Private-h1,Single,Non-White
39.6876441716674,Private-h1,Single,White-h1
29.970417888591697,government department,Married-h1,White-h1
20.157829952606438,government department,Married-h1,Non-White
49.237476670719126,Private-h1,Single,White-h1
22.151334214583635,Private-h1,Single,White-h1
19.509415537361907,Private-h1,Married-h1,White-h1
46.70762396611624,Self-employed,Married-h1,White-h1
28.173940882214204,Private-h1,Married-h1,White-h1
54.0301151607907,Self-employed,Married-h1,White-h1
21.58003020854599,Private-h1,Married-h1,White-h1
51.002327460684356,Private-h1,Married-h1,White-h1
27.647209678024446,Private-h1,Single,White-h1
56.26011314457549,government department,Married-h1,Non-White
44.84332421435315,Private-h1,Married-h1,White-h1
42.83275167058502,Private-h1,Single,White-h1
42.45081239191297,government department,Married-h1,White-h1
27.550489569846143,Private-h1,Single,White-h1
27.826399307495254,Private-h1,Married-h1,Non-White
49.909559924820336,Private-h1,Married-h1,White-h1
49.965313789869164,government department,Single,White-h1
51.05022569351204,Self-employed,Single,White-h1
42.36104771559308,Private-h1,Married-h1,White-h1
42.03680232411455,Private-h1,Married-h1,White-h1
36.733625919553894,Private-h1,Married-h1,White-h1
42.10875732421026,Private-h1,Married-h1,White-h1
34.25385009169003,Private-h1,Married-h1,White-h1
29.46836123112506,Private-h1,Married-h1,White-h1
49.3033075433775,Private-h1,Married-h1,White-h1
41.724075677620455,Private-h1,Married-h1,White-h1
30.112205952194813,Private-h1,Single,White-h1
33.740033758478674,Private-h1,Married-h1,White-h1
26.243095150112858,Private-h1,Single,White-h1
46.206810295979295,Private-h1,Married-h1,White-h1
50.87359658561609,Self-employed,Married-h1,White-h1
19.67213430438363,Private-h1,Single,White-h1
27.06002709377081,Private-h1,Married-h1,Non-White
32.193595669541054,Self-employed,Married-h1,White-h1
21.630073905008857,Private-h1,Single,White-h1
79.71856064839683,Private-h1,Married-h1,White-h1
28.089252095039143,Private-h1,Single,White-h1
41.47114189072596,Private-h1,Married-h1,White-h1
14.42739741690384,Private-h1,Single,White-h1
26.127510143676034,government department,Married-h1,White-h1
19.345598341073146,Private-h1,Single,White-h1
50.694897655751554,Private-h1,Married-h1,White-h1
43.35106245009452,Private-h1,Married-h1,White-h1
55.650696741913556,Private-h1,Married-h1,White-h1
44.654254058711814,Private-h1,Single,White-h1
48.74645727776511,Private-h1,Single,White-h1
51.837487892045054,government department,Married-h1,White-h1
35.891241925094604,Private-h1,Married-h1,White-h1
27.710934707172985,Private-h1,Single,White-h1
42.09895615848997,government department,Single,White-h1
58.109492304303366,Private-h1,Married-h1,White-h1
29.793582597894392,Private-h1,Single,White-h1
27.659096388556943,Private-h1,Single,Non-White
36.06786128437318,government department,Married-h1,White-h1
25.67388661773407,government department,Single,White-h1
48.81821180912012,Self-employed,Married-h1,White-h1
34.19817824035264,Private-h1,Married-h1,White-h1
50.208149538109836,Private-h1,Single,White-h1
33.55703275630603,government department,Single,Non-White
